Comment: 
Version: 2.3 [3.0.8263]
File Name: C:\Users\Algiz 8X\Desktop\230621_toma5\cavendish\PSR-1100f_SN22A44H3_00037.sed
Instrument: PSR-1100f_22A44H3
Detectors: 512,0,0
Measurement: REFLECTANCE
Date: 06/21/2023,06/21/2023
Time: 10:49:25.71,11:02:16.86
Temperature (C): 29.04,31.29
Battery Voltage: 8.27,8.20
Averages: 10,10
Integration: 23,100
Dark Mode: AUTO,AUTO
Foreoptic: FIBER1 {RADIANCE},FIBER1 {RADIANCE}
Radiometric Calibration: RADIANCE
Units: W/m^2/sr/nm
Wavelength Range: 320,1100
Latitude: n/a
Longitude: n/a
Altitude: n/a
UTC Time: n/a
Satellites: n/a
Calibrated Reference Correction File: Sticker
Channels: 781
Columns [2]:
Data:
Wvl	Reflect. %
1009.0	14.1237
1010.0	14.1935
1011.0	14.2130
1012.0	14.1711
1013.0	14.1359
1014.0	14.1105
1015.0	14.1159
1016.0	14.1214
1017.0	14.1186
1018.0	14.1605
1019.0	14.1881
1020.0	14.0298
1021.0	13.9426
1022.0	14.0448
1023.0	14.1400
1024.0	14.2180
1025.0	14.2512
1026.0	14.2572
1027.0	14.2488
1028.0	14.1790
1029.0	14.0659
1030.0	14.1359
1031.0	14.2265
1032.0	14.1160
1033.0	14.1073
1034.0	14.2622
1035.0	14.2503
1036.0	14.1804
1037.0	14.2735
1038.0	14.3816
1039.0	14.4607
1040.0	14.4071
1041.0	14.2692
1042.0	14.2642
1043.0	14.2600
1044.0	14.1628
1045.0	14.1423
1046.0	14.1934
1047.0	14.0866
1048.0	13.9905
1049.0	14.1269
1050.0	14.2559
1051.0	14.3261
1052.0	14.3415
1053.0	14.3122
1054.0	14.2267
1055.0	14.2317
1056.0	14.4182
1057.0	14.4044
1058.0	14.2525
1059.0	14.2735
1060.0	14.2358
1061.0	13.9413
1062.0	13.8361
1063.0	13.9684
1064.0	14.4353
1065.0	14.8507
1066.0	14.4127
1067.0	14.0409
1068.0	14.1130
1069.0	14.3471
1070.0	14.6841
1071.0	14.9270
1072.0	15.0718
1073.0	15.1031
1074.0	14.8314
1075.0	14.3134
1076.0	14.2584
1077.0	14.3669
1078.0	14.2596
1079.0	14.2085
1080.0	14.3073
1081.0	14.4755
1082.0	14.6991
1083.0	14.9879
1084.0	15.1105
1085.0	14.8203
1086.0	14.6206
1087.0	14.6005
1088.0	14.5365
1089.0	14.3672
1090.0	13.7926
1091.0	13.5136
1092.0	13.8953
1093.0	13.9656
1094.0	13.7841
1095.0	14.8229
1096.0	15.7109
1097.0	14.4502
1098.0	13.8112
1099.0	14.4028
1100.0	14.2681
